video_name,result,coverage_percent,total_duration_sec,active_windows
Shooting020_x264,Success,24.0,169.2,"[(0.007459, 0.8534549049999999), (4.237438524999999, 7.621422144999999), (9.313413955, 10.15940986), (12.697397574999998, 15.235385289999998), (16.927377099999998, 17.773373005), (26.233332054999998, 27.079327959999997), (38.077274724999995, 38.92327062999999), (43.15325015499999, 43.99924605999999), (63.45715187499999, 64.30314777999999), (66.84113549499999, 69.37912320999999), (70.22511911499998, 71.91711092499999), (78.685078165, 79.53107406999999), (82.91505768999998, 86.29904130999998), (110.83292255499998, 113.37091026999998), (121.83086931999998, 122.67686522499999), (132.828816085, 133.67481199), (135.36680379999999, 136.21279970499998), (142.13477104, 143.82676285), (148.056742375, 149.748734185), (153.97871371, 157.36269733), (159.900685045, 166.66865228499998), (167.51464818999997, 169.20664)]"
Shooting021_x264,Success,24.0,42.17,"[(0.00684, 5.488312360000001), (14.132172620000002, 14.553824340000002), (15.397127780000003, 19.613644980000004)]"
Shooting022_x264,Success,33.5,151.4,"[(0.005776, 0.76277), (15.902649999999998, 17.416638), (88.574074, 90.84505599999999), (91.60204999999999, 101.44297199999998), (102.19996599999999, 113.554876), (115.82585799999998, 122.638804), (123.39579799999998, 140.04966599999997), (149.133594, 150.647582)]"
Shooting023_x264,Success,24.5,13.4,"[(0.27378148, 0.34078285), (5.231882860000001, 5.2988842300000005), (6.973918480000001, 7.107921220000001), (7.24192396, 7.30892533), (7.442928070000001, 7.5099294400000005), (7.64393218, 7.844936290000001), (7.91193766, 8.0459404), (8.179943139999999, 8.31394588), (8.38094725, 8.64895273), (8.7159541, 9.18496369), (9.31896643, 9.78797602), (9.92197876, 9.98898013), (10.12298287, 10.52499109), (10.59199246, 11.19500479), (11.32900753, 11.46301027)]"
Shooting024_x264,Success,20.5,68.5,"[(0.006528, 1.033992105), (4.458872455000001, 6.513800665000001), (7.541264770000001, 7.883752805000001), (11.65112119, 13.02107333), (19.18585796, 19.528345995000002), (21.92576224, 22.953226345), (23.638202415000002, 24.665666520000002), (26.03561866, 26.378106695), (33.227867395000004, 33.570355430000006), (56.51705377500001, 59.256958055000005), (59.59944609000001, 62.339350370000005), (66.106718755, 66.79169482500001)]"
Shooting025_x264,Success,13.5,78.83,"[(0.007472, 0.79580235), (1.5841326999999998, 1.9782978749999998), (8.67910585, 9.073271024999999), (9.4674362, 10.255766549999999), (16.168244174999998, 16.56240935), (18.139070049999997, 18.533235225), (33.1173467, 34.6940074), (35.48233775, 36.270668099999995), (50.4606144, 51.24894475), (52.037275099999995, 52.431440275), (52.82560545, 53.219770624999995), (57.949752724999996, 58.738083075), (68.59221245, 68.986377625), (76.47551595, 78.840507)]"
Shooting026_x264,Success,23.5,46.23,"[(0.006032, 0.237199965), (12.48910211, 12.720270075), (17.11246141, 20.811148850000002), (21.042316815000003, 21.27348478), (27.515019835, 27.7461878), (29.59553152, 29.826699485000002), (33.525386925, 35.374730645), (36.06823454, 37.45524233), (42.772105525, 45.083785174999996), (45.777289069999995, 46.239625)]"
Shooting027_x264,Success,28.5,23.1,"[(0.004673, 4.278201675), (5.202207875, 7.16572105), (15.94377995, 16.059280725), (21.02581405, 21.141314825000002), (21.2568156, 21.372316375)]"
Shooting028_x264,Success,16.5,62.76,"[(0.005062, 0.318880565), (7.850526124999999, 8.478163255), (11.616348905, 11.93016747), (15.06835312, 19.46181303), (20.71708729, 21.97236155), (35.466559845, 37.977108365), (38.604745495, 38.91856406), (52.412762355, 53.040399485)]"
Shooting029_x264,Success,26.5,45.03,"[(0.005968, 0.231124685), (0.45628136999999996, 3.833631645), (6.535511865, 7.66129529), (9.91286214, 11.26380225), (12.389585675, 13.06505573), (20.495226334999998, 21.62100976), (22.746793184999998, 23.42226324), (31.07759053, 32.203373955), (32.87884401, 33.554314065), (41.434798040000004, 42.335424780000004), (43.236051520000004, 43.911521575)]"
Shooting030_x264,Success,13.5,39.83,"[(0.005538, 0.20469507499999998), (17.5313606, 18.925460125), (23.705229925, 24.30270115), (24.900172375, 25.4976436), (25.89595775, 26.69258605), (27.688371425, 27.8875285), (34.2605549, 34.858026125), (36.451282725, 37.4470681)]"
Shooting031_x264,Success,19.0,69.93,"[(12.244226524999998, 12.943547354999998), (19.237434824999998, 19.58709524), (20.636076485, 21.335397314999998), (22.034718145, 23.08369939), (25.181661879999997, 25.531322295), (28.678266029999996, 29.727247274999996), (37.769436819999996, 38.119097235), (45.46196594999999, 50.706872174999994), (51.755853419999994, 52.45517424999999), (53.50415549499999, 55.60211798499999), (56.30143881499999, 57.000759644999995)]"
Shooting032_x264,Success,12.5,721.53,"[(72.16117009999999, 75.768837355), (140.706847945, 147.92218245499998), (266.97520187000003, 274.19053638), (357.166883245, 360.77455050000003), (364.382217755, 371.59755226500005), (411.28189207, 418.49722658), (436.535562855, 440.14323011000005), (544.765580505, 551.980915015), (573.626918545, 577.2345858), (620.52659286, 627.74192737), (642.17259639, 645.780263645), (663.81859992, 671.03393443), (674.6416016850001, 689.072270705), (703.502939725, 710.718274235)]"
Shooting033_x264,No Annotation,26.0,120.57,"[(0.007424, 3.62443028), (5.43293342, 8.44710532), (9.65277408, 10.255608460000001), (13.87261474, 21.70946168), (52.45401506, 64.51070266), (116.35445934, 120.5743)]"
Shooting034_x264,No Annotation,33.0,46.47,"[(0.005808, 5.1171626), (29.047595499999996, 34.3912844), (35.3206216, 36.9469617), (43.2199878, 46.472668)]"
Shooting036_x264,No Annotation,16.0,127.23,"[(4.460912585, 12.7310791), (57.26274495, 58.53507826), (60.443578225, 63.6244115), (99.885910835, 100.52207749), (101.158244145, 101.79441080000001), (108.15607735, 110.06457731500001), (112.609243935, 115.153910555), (117.698577175, 118.33474383000001), (118.970910485, 120.243243795)]"
Shooting037_x264,No Annotation,13.0,9.63,"[(0.004384, 0.34146893), (4.04940316, 4.09755815), (4.19386813, 4.29017811), (4.38648809, 4.43464308), (4.53095306, 4.62726304), (4.67541803, 4.72357302), (4.819883, 4.86803799), (5.01250296, 5.10881294), (5.20512292, 5.25327791), (5.87929278, 5.927447770000001), (6.50530765, 6.55346264), (6.79423759, 6.84239258), (7.17947751, 7.2276325), (7.32394248, 7.42025246), (7.51656244, 7.56471743), (7.66102741, 7.7091824)]"
Shooting038_x264,No Annotation,22.5,42.8,"[(0.005376, 1.5033779950000001), (1.7173782800000001, 2.57337942), (9.42138854, 11.347391105000002), (15.841397090000001, 16.26939766), (31.67741818, 34.031421315), (37.883426445, 39.38142844), (40.023429295, 40.451429865), (41.09343072, 41.307431005), (41.52143129, 41.949431860000004)]"
Shooting039_x264,No Annotation,20.0,27.27,"[(0.005266, 0.959613695), (2.050296775, 2.3229675450000005), (19.228555285, 20.046567595), (21.955262985, 24.681970685), (26.590666074999998, 27.272343)]"
Shooting040_x264,No Annotation,9.5,28.23,"[(1.8406490549999999, 1.98181529), (2.5464802300000002, 2.8288127000000003), (4.946306225, 5.08747246), (5.228638695, 5.6521374), (6.21680234, 6.49913481), (15.53377385, 15.674940085), (15.81610632, 16.804269965), (22.02742066, 22.30975313)]"
Shooting041_x264,No Annotation,17.5,45.93,"[(2.0719362500000003, 2.53127475), (6.2059827499999995, 8.273006), (10.5696985, 10.79936775), (11.4883755, 11.718044749999999), (28.4839, 28.71356925), (36.2926545, 38.589347000000004), (40.8860395, 43.41240125)]"
Shooting042_x264,No Annotation,21.5,51.1,"[(14.825261339999999, 17.63578037), (21.979309779999998, 22.49031324), (24.534327079999997, 24.789828809999996), (25.04533054, 25.300832269999997), (27.600347839999998, 27.855849569999997), (31.688375519999997, 32.45488071), (33.73238936, 39.86443087999999)]"
Shooting043_x264,No Annotation,13.0,62.07,"[(0.004482, 0.31481832), (9.314571599999999, 9.93524424), (31.96912296, 33.210468240000004), (34.76214984, 35.38282248), (36.93450408, 38.17584936), (39.417194640000005, 40.65853992), (40.96887624, 41.58954888), (47.485938960000006, 48.1066116), (48.416947920000005, 49.03762056), (53.071992720000004, 53.38232904), (54.934010640000004, 55.24434696), (61.140737040000005, 61.45107336)]"
Shooting044_x264,No Annotation,14.5,14.87,"[(0.006029, 0.22903668500000002), (0.30337258, 0.377708475), (2.83079301, 2.9794647999999997), (4.61485449, 4.76352628), (4.837862175, 4.91219807), (4.986533965, 5.283877545), (5.35821344, 5.432549335), (5.50688523, 5.581221125), (5.65555702, 5.729892915), (5.878564705, 6.0272364949999995), (6.101572389999999, 6.621923655), (6.69625955, 6.770595445), (6.84493134, 6.9936031299999994), (7.73696208, 7.811297975)]"
Shooting046_x264,No Annotation,26.0,168.93,"[(0.004947, 1.6942849700000002), (4.228291925, 9.296305835), (66.733796815, 68.423134785), (126.70529475000002, 131.77330866), (134.307315615, 139.375329525), (141.90933648, 146.132681405), (146.97735039, 148.66668836), (149.511357345, 168.938744)]"
Shooting047_x264,No Annotation,19.0,275.55,"[(0.005216, 1.382966235), (9.649467645, 12.404968115), (19.29371929, 22.04921976), (39.95997281499999, 44.093223519999995), (63.381726809999996, 78.536979395), (90.93673151, 93.69223198), (130.89148832499998, 135.02473902999998), (159.82424325999997, 165.33524419999998), (180.49049678499998, 181.86824701999998), (232.84500571499999, 236.97825641999998), (264.53326112, 267.28876159), (270.04426206, 275.555263)]"
Shooting048_x264,No Annotation,20.5,90.71,"[(0.004288, 9.074953), (44.90407975, 51.25354525), (53.5212115, 53.97474475), (59.41714375, 59.870677), (60.32421025, 61.23127675), (61.68481, 63.045409750000005)]"
Shooting050_x264,No Annotation,29.0,127.17,"[(0.00784, 26.077889055), (30.52887304, 31.164727895), (32.436437605, 33.708147315), (73.131148325, 73.76700317999999), (76.3104226, 77.58213230999999), (82.66897114999999, 83.304826005), (85.21239057, 85.84824542499999), (89.66337455499999, 90.29922941), (94.11435854, 95.38606825), (115.097568755, 117.00513331999998), (120.184407595, 122.09197216)]"
Shooting051_x264,No Annotation,18.0,46.34,"[(0.007808, 0.7029076100000001), (1.8614069600000003, 3.2516061800000005), (6.03200462, 7.653903710000001), (7.885603580000001, 8.117303450000001), (12.519600980000002, 12.983000720000003), (22.714395260000003, 24.104594480000003), (24.799694090000003, 25.031393960000003), (25.958193440000006, 26.653293050000006), (26.884992920000006, 27.116692790000005), (29.433691490000005, 29.665391360000005), (31.982390060000004, 32.21408993), (44.0307833, 44.72588291), (46.11608213, 46.347782)]"
Shooting052_x264,No Annotation,30.0,184.97,"[(0.006659, 1.8563684699999998), (24.977736844999995, 26.827446314999996), (35.151138929999995, 41.62512207499999), (43.474831544999994, 44.39968628), (49.94881468999999, 50.873669424999996), (55.49794309999999, 62.896780979999996), (63.82163571499999, 65.67134518499999), (73.070183065, 76.769602005), (101.74067984999999, 105.44009879), (107.28980825999999, 108.214662995), (112.83893667, 123.01233875499999), (130.411176635, 134.110595575), (136.88515978, 137.810014515), (147.058561865, 147.9834166), (158.156818685, 163.705947095), (164.63080183, 165.555656565), (168.33022077, 172.02963971)]"
Shooting053_x264,No Annotation,18.5,30.14,"[(1.9635677050000002, 2.264968275), (2.5663688450000004, 2.7170691300000005), (2.867769415, 3.7719711250000003), (3.9226714100000004, 6.484576255), (8.14227939, 8.292979675000002), (8.44367996, 8.745080530000001), (10.402783665000001, 10.553483950000002), (12.060486800000001, 12.211187085000002), (20.80110333, 21.705305040000002)]"
Shooting054_x264,No Annotation,34.0,23.96,"[(0.004721, 0.24433773), (2.041463205, 2.16127157), (2.281079935, 2.4008883), (2.520696665, 2.64050503), (2.760313395, 2.8801217599999998), (3.11973849, 3.59897195), (3.718780315, 4.198013775), (4.31782214, 5.396097425), (6.114947615, 11.506324039999999)]"
