video_name,result,coverage_percent,total_duration_sec,active_windows
Robbery011_x264,Success,27.0,53.43,"[(0.007504, 9.892554980000002), (47.562614120000006, 47.829777660000005), (48.0969412, 52.37155784)]"
Robbery012_x264,Success,27.0,24.3,"[(8.99881573, 9.849302745000001), (9.970800890000001, 12.88675637), (18.718667330000002, 19.69065249), (20.17664507, 21.270128375000002), (23.57859313, 24.307582)]"
Robbery013_x264,Success,23.5,120.4,"[(0.004417, 0.606408705), (1.2084004099999999, 4.82035064), (10.84026769, 17.462176445), (18.666159855, 19.870143265), (22.278110084999998, 25.28806861), (38.531886119999996, 39.133877825), (57.193628974999996, 58.397612384999995), (60.2035875, 60.805579204999994), (65.01952114000001, 65.621512845), (66.22350455, 69.233463075), (70.437446485, 74.049396715), (113.780849245, 117.392799475)]"
Robbery014_01_x264,No Annotation,0,0,[]
Robbery014_02_x264,No Annotation,9.5,200.0,"[(4.00560116, 5.00560145), (8.00560232, 11.00560319), (13.005603769999999, 17.00560493), (19.005605510000002, 20.0056058), (22.005606380000003, 23.005606670000002), (31.005608990000002, 33.005609570000004), (34.00560986, 35.00561015), (38.00561102, 40.0056116), (43.00561247, 44.005612760000005), (145.00564204999998, 146.00564233999998), (160.0056464, 162.00564698)]"
Robbery015_x264,Success,25.0,90.5,"[(0.00552, 7.697803164999999), (8.602777654999999, 12.675162859999999), (34.84703786499999, 35.29952510999999), (35.75201235499999, 37.10947408999999), (62.448759809999984, 64.711196035), (66.97363225999999, 67.42611950499999), (76.02337716, 76.475864405), (77.83332614, 83.71566032499999)]"
Robbery016_x264,Success,21.5,54.4,"[(29.380594900000002, 30.468576600000002), (31.012567450000002, 35.636489675), (35.9084851, 36.180480525), (36.45247595, 42.164379875)]"
Robbery017_x264,Success,14.5,144.5,"[(0.0068, 0.72929224), (1.45178448, 2.17427672), (3.6192612000000004, 5.78673792), (38.29888872, 39.02138096), (41.18885768, 46.9687956), (62.863624879999996, 63.58611712), (76.59097744, 78.03596192), (84.53839208, 88.87334552), (92.48580672, 93.20829896), (98.26574464, 98.98823688), (106.93565152, 107.65814376), (124.99795752, 126.442942), (137.2803256, 138.00281784)]"
Robbery018_x264,Success,9.0,95.23,"[(7.14693765, 8.09925667), (9.05157569, 9.5277352), (11.908532750000001, 12.384692260000001), (13.813170790000001, 14.2893303), (15.24164932, 16.19396834), (16.67012785, 17.146287360000002), (23.33636099, 23.8125205), (48.57281502, 49.04897453), (62.85760032, 63.33375983), (72.38079051999999, 72.85695003), (74.76158806999999, 75.23774757999999), (76.66622611, 78.09470463999999), (91.42717092, 91.90333043), (93.33180895999999, 93.80796846999999)]"
Robbery019_x264,Success,9.5,191.4,"[(9.574312899999999, 13.40231006), (18.18730651, 20.10130509), (22.015303669999998, 22.97230296), (32.542295859999996, 33.499295149999995), (34.45629444, 36.37029302), (39.241290889999995, 41.15528947), (74.65026462, 75.60726391), (79.43526107, 80.39226036000001), (96.66124829, 98.57524687), (99.53224616, 100.48924545), (134.94121989, 135.89821918), (170.35019362, 171.30719291)]"
Robbery020_x264,Success,21.0,146.13,"[(1.46585484, 3.6578435999999996), (33.61502332, 34.34568624), (36.537675, 37.99900084), (48.22828172, 59.918888439999996), (60.64955136, 65.03352888), (70.14816932000001, 70.87883224000001), (75.26280976000001, 78.91612436), (82.56943896, 83.30010188), (92.79871984, 94.26004568), (116.9105962, 118.37192204), (138.8304838, 141.02247255999998)]"
Robbery021_x264,Success,17.0,273.43,"[(8.21113553, 9.578303285), (12.312638795000002, 16.41414206), (31.452987365000002, 35.55449063), (50.593335935, 51.96050369), (53.327671445, 56.062006955), (58.796342465, 60.16351022), (114.85022042, 116.21738817500001), (121.686059195, 123.05322695000001), (159.966756335, 162.701091845), (180.47427266, 183.20860817000002), (184.57577592500002, 187.310111435), (188.67727919, 190.044446945), (191.4116147, 194.14595021000002), (196.88028572000002, 198.24745347500001), (202.34895674, 205.08329225), (207.81762776000002, 209.18479551500002), (216.02063429, 217.387802045), (225.590808575, 232.42664735000002), (239.262486125, 240.62965388), (272.074512245, 273.44168)]"
Robbery022_x264,Success,17.5,116.33,"[(0.005617, 0.587277405), (7.567202265000001, 11.638825100000002), (13.383806315000001, 20.945391580000003), (26.180335225000004, 27.925316440000003), (30.833618465000004, 31.41527887), (44.793468185, 45.37512859), (105.286150305, 105.86781071000001), (107.61279192500001, 112.266075165)]"
Robbery023_x264,Success,5.5,36.33,"[(4.73064944, 5.638961639999999), (6.1839489599999995, 6.365611399999999), (6.547273839999999, 6.728936279999999), (9.090548, 9.27221044), (11.088834839999999, 11.270497279999999), (11.63382216, 11.8154846), (13.08712168, 13.26878412)]"
Robbery024_x264,Success,12.0,79.2,"[(6.736188025000001, 7.9241845), (8.71618215, 9.5081798), (9.904178625, 13.072169225), (14.2601657, 15.448162175), (16.63615865, 17.428156299999998), (17.824155124999997, 19.0121516), (41.980083449999995, 43.168079925)]"
Robbery025_x264,Success,14.0,48.13,"[(6.505781395000001, 6.746449780000002), (6.987118165000002, 7.949791705000002), (8.912465245000002, 9.393802015000002), (10.115807170000002, 10.597143940000002), (13.966501330000003, 14.207169715000003), (15.891848410000003, 16.373185180000004), (21.908558035000002, 22.149226420000005), (23.352568345000005, 23.833905115000004), (24.555910270000005, 25.037247040000004), (28.647272815000004, 29.369277970000006), (29.850614740000005, 30.091283125000004), (43.568712685, 44.05004945500001), (44.531386225000006, 45.253391380000004), (46.45673330500001, 46.69740169000001), (47.419406845000005, 47.660075230000004)]"
Robbery026_x264,Success,21.0,436.47,"[(45.833930405000004, 50.198595015), (72.02191806500001, 74.20425037000001), (137.49188721500002, 157.13287796), (161.49754257, 183.32086562), (189.867862535, 196.41485945000002), (198.597191755, 200.77952406), (226.96751172, 240.06150555000002), (246.60850246500002, 248.79083477), (250.97316707500002, 253.15549938), (259.702496295, 261.8848286), (285.89048395500004, 288.07281626), (318.62546853000003, 320.807800835), (342.631123885, 344.81345619), (412.465757645, 414.64808995000004), (421.195086865, 423.37741917), (432.10674839, 436.471413)]"
Robbery027_x264,Success,21.5,179.33,"[(0.00448, 1.7978178500000002), (24.214540975000002, 26.904547750000003), (47.527933025, 50.2179398), (54.701284425000004, 56.494622275000005), (63.667973675000006, 68.1513183), (69.047987225, 71.737994), (79.808014325, 85.188027875), (88.774703575, 90.568041425), (127.33146735000001, 129.1248052), (130.021474125, 135.401487675), (136.2981566, 137.194825525), (139.8848323, 142.574839075), (145.26484585, 148.85152155), (151.541528325, 152.43819725)]"
Robbery028_x264,Success,10.0,77.37,"[(1.166780395, 1.5536158599999998), (6.96931237, 8.903489695), (9.29032516, 9.677160624999999), (17.80070539, 18.187540855), (25.537414690000002, 26.31108562), (28.245262945, 29.40576934), (33.660959455, 34.821465849999996), (44.10551701, 44.879187939999994), (62.673619329999994, 63.060454795), (76.59969607000001, 76.986531535)]"
Robbery029_x264,Success,16.5,72.03,"[(0.004128, 0.36428823000000005), (18.732459960000003, 19.81294065), (23.774703180000003, 24.495023640000003), (24.855183870000005, 25.575504330000005), (26.295824790000005, 28.096625940000003), (29.537266860000003, 30.257587320000003), (30.977907780000002, 32.058388470000004), (36.020151000000006, 36.380311230000004), (41.42255445000001, 41.782714680000005), (56.90944434000001, 57.269604570000006), (58.710245490000005, 60.51104664), (64.11264894, 65.55328985999999), (66.99393078, 67.71425124), (69.15489216, 69.51505239)]"
Robbery030_x264,Success,9.5,98.37,"[(0.49897391500000005, 0.99081083), (8.860201470000002, 10.827549130000001), (11.319386045000002, 11.811222960000002), (12.303059875, 14.76224445), (17.713265940000003, 18.69693977), (19.6806136, 20.172450515), (60.01124063, 60.503077545000004), (66.89695744000001, 67.388794355), (87.062270955, 87.55410787000001), (89.029618615, 89.52145553000001), (97.88268308500001, 98.37452)]"
Robbery031_x264,Success,18.0,36.0,"[(7.747014824999999, 7.927013099999999), (8.107011374999999, 8.467007925), (8.6470062, 8.827004474999999), (9.72699585, 9.906994125), (10.626987225, 11.5269786), (11.706976874999999, 11.88697515), (12.2469717, 12.426969974999999), (12.60696825, 12.9669648), (22.506873374999998, 22.866869925), (25.746842325, 26.466835425), (29.88680265, 30.066800925), (31.146790574999997, 31.32678885), (32.226780225, 33.666766425), (33.8467647, 34.20676125), (34.386759524999995, 34.5667578), (34.926754349999996, 35.106752625), (35.466749175, 35.64674745), (35.826745724999995, 36.006744)]"
Robbery032_x264,Success,22.5,179.37,"[(0.005616, 0.9024459349999999), (9.870745285, 12.56123509), (21.52953444, 24.220024244999998), (28.70417392, 30.497833789999998), (33.188323595, 35.8788134), (36.775643335000005, 48.43443249), (52.021752230000004, 54.712242035), (58.299561775, 60.99005158), (62.78371145, 65.474201255), (80.72031015, 82.51397002), (96.86324898, 99.553738785), (156.05402469, 161.4350043)]"
Robbery033_x264,Success,19.0,30.97,"[(0.004368, 0.778523075), (1.0881851049999998, 1.397847135), (2.017171195, 6.352439615), (7.281425705, 7.43625672), (20.596892994999997, 20.751724009999997), (20.906555025, 21.06138604)]"
Robbery034_x264,Success,17.0,210.37,"[(14.730532380000001, 18.93785706), (19.98968823, 21.0415194), (75.73674024, 76.78857141), (92.56603896, 94.6697013), (98.87702598, 99.92885715), (107.29167534000001, 109.39533768000001), (112.55083119000001, 116.75815587000001), (117.80998704000001, 122.01731172000001), (125.17280523000001, 126.22463640000001), (129.38012991, 130.43196108), (136.7429481, 137.79477927000002), (145.15759746, 146.20942863000002), (180.91985724, 183.02351958), (186.17901309, 189.3345066), (193.54183128, 195.64549362), (196.69732479, 198.80098713), (201.95648064000002, 204.06014298000002)]"
Robbery035_x264,Success,25.0,154.63,"[(31.7043259, 32.477485800000004), (100.515557, 118.2982347), (126.0298337, 128.3493134), (129.1224733, 146.90515100000002)]"
Robbery036_x264,Success,26.0,205.06,"[(4.10947134, 6.16011901), (17.438681195, 24.61594804), (27.691919544999998, 33.843862555), (34.86918639, 35.894510225), (110.74315018, 120.99638853), (122.02171236500001, 128.17365537499998), (129.19897921, 138.42689372499999), (146.629484405, 147.65480824), (151.75610358, 152.781427415), (153.80675125, 155.85739891999998), (157.90804659, 158.933370425), (169.186608775, 172.26258028), (173.287904115, 176.36387562)]"
Robbery037_x264,Success,17.0,290.23,"[(24.674601515, 26.12576631), (52.24673262, 53.697897415), (100.135170855, 103.037500445), (119.00031319, 120.451477985), (148.02360908999998, 152.37710347499998), (159.63292744999998, 161.084092245), (172.693410605, 175.595740195), (179.94923458, 194.46088253), (195.91204732499997, 197.36321212), (203.16787129999997, 204.61903609499998), (207.52136568499998, 208.97253048), (240.89815596999998, 245.25165035499998), (249.60514474, 252.50747432999998), (256.86096871499996, 258.31213350999997), (264.11679268999995, 267.01912228), (271.37261666499995, 274.274946255)]"
Robbery038_x264,Success,8.5,60.4,"[(14.20033204, 15.40828532), (21.1460634, 21.44805172), (24.769923239999997, 25.071911559999997), (27.185829799999997, 28.997759719999998), (46.51308228, 47.72103556), (49.834953799999994, 50.13694211999999)]"
Robbery039_x264,Success,21.0,16.87,"[(0.3426208600000001, 0.5112912900000001), (0.595626505, 0.7642969350000002), (0.8486321500000001, 0.9329673650000001), (1.7763195150000004, 2.1136603750000003), (2.2823308050000004, 2.6196716650000007), (2.7883420950000004, 2.8726773100000007), (3.2100181700000006, 3.294353385000001), (3.969035105000001, 4.053370320000001), (4.222040750000001, 4.306375965000001), (4.9810576850000015, 5.065392900000001), (7.089438060000002, 7.173773275000001), (7.595449350000002, 7.679784565000002), (10.968857950000004, 11.053193165000003), (13.330243970000003, 13.498914400000004), (13.583249615000003, 13.667584830000004), (13.836255260000003, 13.920590475000004), (14.089260905000003, 14.173596120000004), (14.257931335000004, 14.426601765000004), (14.510936980000004, 15.354289130000005), (15.438624345000004, 15.522959560000004), (15.607294775000005, 15.860300420000005)]"
Robbery040_x264,Success,10.5,34.17,"[(2.3989894, 2.5698220000000003), (2.7406546, 2.9114872), (3.9364828000000003, 4.278148), (7.3531348, 7.5239674), (14.6989366, 15.0406018), (29.048875, 31.2696988), (31.7821966, 31.9530292)]"
Robbery041_x264,Success,19.0,44.9,"[(2.47393371, 2.69842932), (2.9229249299999998, 3.1474205399999997), (4.4943942, 4.71888981), (5.61687225, 5.84136786), (6.06586347, 6.29035908), (6.51485469, 6.7393503), (6.96384591, 7.18834152), (7.63733274, 7.86182835), (8.08632396, 8.31081957), (8.53531518, 8.75981079), (8.9843064, 9.65779323), (9.88228884, 10.33128006), (10.55577567, 11.229262499999999), (15.494679089999998, 15.719174699999998), (15.943670309999998, 16.16816592), (16.392661529999998, 16.61715714), (16.841652749999998, 17.06614836), (17.290643969999998, 17.51513958), (17.9641308, 18.188626409999998), (18.41312202, 18.637617629999998), (18.86211324, 19.086608849999998), (19.31110446, 19.76009568), (20.2090869, 20.433582509999997), (20.882573729999997, 21.10706934), (21.331564949999997, 21.55606056), (21.780556169999997, 22.00505178), (29.86239813, 30.086893739999997), (39.74020497, 39.96470058), (41.76066546, 41.98516107), (42.20965668, 42.6586479), (42.88314351, 43.10763912)]"
Robbery042_x264,Success,18.0,71.83,"[(0.005744, 2.1607328), (4.6748864, 5.0340512), (6.4707104, 8.6256992), (10.0623584, 10.4215232), (16.16816, 16.5273248), (36.2813888, 37.3588832), (38.0772128, 38.4363776), (40.9505312, 41.309696), (46.697168, 47.0563328), (56.0354528, 56.394617600000004), (63.937078400000004, 65.01457280000001), (65.37373760000001, 67.52872640000001), (70.04288000000001, 71.838704)]"
Robbery043_x264,Success,10.0,33.97,"[(1.1951122450000002, 1.3649442800000002), (1.5347763150000002, 1.8744403850000002), (2.214104455, 2.3839364900000004), (5.9504092250000005, 6.12024126), (7.648729575000001, 7.818561610000001), (7.988393645, 8.158225680000001), (8.328057715, 8.667721785000001), (20.386132200000002, 20.555964235000005), (23.782772900000005, 23.952604935000004), (25.820757320000006, 25.990589355000004), (26.160421390000003, 26.330253425000006), (27.009581565000005, 27.688909705000004), (28.028573775000005, 28.198405810000004), (29.217398020000005, 29.387230055000003), (30.576054300000006, 30.745886335000005)]"
Robbery044_x264,Success,20.0,14.97,"[(0.00709, 0.08192042499999999), (0.231581275, 0.38124212499999993), (0.45607254999999997, 0.5309029749999999), (1.35403765, 1.4288680749999998), (1.5785289249999999, 1.728189775), (1.9526810499999998, 2.1023418999999994), (2.1771723249999995, 2.3268331749999995), (2.5513244499999996, 2.7009852999999997), (2.9254765749999994, 3.0003069999999994), (4.047932949999999, 4.122763374999999), (4.347254649999999, 4.721406774999999), (4.871067624999999, 4.945898049999999), (6.816658674999999, 6.891489099999999), (7.490132499999999, 7.564962924999999), (7.639793349999999, 7.714623774999999), (8.013945474999998, 8.313267174999998), (8.612588874999998, 8.837080149999998), (9.136401849999999, 9.360893124999999), (9.660214824999999, 9.959536524999999), (10.258858224999999, 10.33368865), (13.252075224999999, 13.326905649999999)]"
Robbery045_x264,Success,19.5,110.3,"[(0.005666, 1.6601655199999998), (33.647156239999994, 34.19865608), (35.301655759999996, 35.853155599999994), (36.40465543999999, 42.47115367999999), (43.57415336, 44.125653199999995), (51.84665096, 54.604150159999996), (55.155649999999994, 56.25864968), (56.810149519999996, 59.567648719999994), (60.11914855999999, 63.428147599999996), (63.979647439999994, 64.53114728), (76.66414376, 77.76714344), (109.75413415999999, 110.305634)]"
Robbery046_x264,Success,39.5,27.43,"[(2.7480779999999996, 3.5710985999999996), (4.2569491, 7.411861399999999), (7.9605418, 14.819046799999999)]"
Robbery047_x264,Success,17.5,50.2,"[(4.02337296, 4.274372645), (4.776372015, 5.52937107), (5.780370755, 10.298365084999999), (10.800364454999999, 11.302363824999999), (37.406331064999996, 38.66132949), (45.1873213, 46.19132004), (46.442319725, 46.944319095)]"
Robbery048_x264,Success,13.0,46.47,"[(16.035043385, 16.267371550000004), (16.732027880000004, 16.964356045000002), (18.12599687, 18.822981365000004), (20.913934850000004, 21.378591180000004), (22.307903840000005, 22.540232005000004), (30.207061450000005, 33.691983925), (33.92431209, 34.388968420000005), (34.621296585, 34.85362475)]"
Robbery049_x264,Success,18.5,65.4,"[(6.2176785400000005, 6.544677200000001), (13.084650400000001, 13.41164906), (24.20260484, 24.5296035), (32.70457, 33.35856732), (36.30155525999999, 38.59054587999999), (41.860532479999996, 44.47652176), (46.76551238, 47.74650835999999), (58.8644628, 59.19146146), (59.51846011999999, 60.172457439999995), (60.82645476, 62.788446719999996), (63.11544538, 63.7694427), (64.09644136, 64.42344002), (64.75043868, 65.404436)]"
Robbery050_x264,Success,20.0,56.07,"[(0.00719, 4.772783849999999), (16.2662749, 16.546603949999998), (18.228578249999998, 20.47121065), (24.6761464, 24.95647545), (34.487663149999996, 34.767992199999995), (35.04832125, 37.85161175), (43.738521799999994, 44.01885085), (44.859837999999996, 45.140167049999995)]"
Robbery051_x264,Success,19.0,52.5,"[(6.5702549999999995, 7.8827668), (8.407771519999999, 9.195278599999998), (9.720283319999998, 10.245288039999998), (11.55779984, 11.820302199999999), (24.15791312, 24.42041548), (29.407960319999997, 29.93296504), (37.54553348, 38.33304056), (38.59554292, 39.12054764), (39.383050000000004, 40.43305944), (40.6955618, 40.95806416), (45.15810192, 47.52062316), (49.8831444, 51.1956562)]"
Robbery052_x264,Success,25.0,119.3,"[(0.005632, 0.6021312549999999), (21.479605179999993, 23.269102944999993), (25.058600709999993, 29.830594749999992), (30.427094004999994, 31.02359325999999), (32.81309102499999, 36.98858580999999), (38.77808357499999, 39.374582829999994), (53.69056494999999, 57.866059734999986), (60.25205675499999, 63.831052284999984), (96.04201205499999, 99.62100758499999), (103.20000311499999, 105.58600013499999), (115.72648746999998, 119.305483)]"
Robbery053_x264,Success,17.5,60.4,"[(7.556752625, 11.784685774999998), (18.73057595, 19.636561625), (29.904399275, 31.716370625), (40.776227375, 42.588198725), (48.628103225, 49.5340889), (51.9500507, 52.554041149999996), (52.856036374999995, 53.1580316)]"
Robbery054_x264,Success,25.5,65.13,"[(2.6129479199999994, 5.543962079999999), (6.1952985599999995, 7.1723032799999995), (7.497971519999999, 8.474976239999998), (8.800644479999999, 9.12631272), (9.451980959999998, 14.988341039999998), (44.949819119999994, 48.85783799999999), (49.18350623999999, 49.83484271999999), (50.16051095999999, 51.13751567999999), (59.279221679999985, 59.60488991999999)]"
Robbery055_x264,Success,16.0,317.47,"[(3.1807356499999995, 6.355403299999999), (9.530070949999999, 11.117404774999999), (12.704738599999999, 15.879406249999999), (22.228741549999995, 23.816075374999997), (25.403409199999995, 26.990743024999993), (28.578076849999995, 33.34007832499999), (44.45141509999999, 46.03874892499999), (49.21341657499999, 50.80075039999999), (61.91208717499999, 66.67408864999999), (84.13476072499999, 87.30942837499998), (88.89676219999998, 93.65876367499999), (119.05610487499997, 123.81810634999998), (242.86814322499995, 246.04281087499996), (285.7261565, 287.313490325), (300.012160925, 307.94883004999997), (315.885499175, 317.472833)]"
Robbery056_x264,Success,28.0,91.43,"[(2.2922508, 16.464426560000003), (16.921593520000002, 17.37876048), (19.66459528, 20.121762240000002), (25.1505988, 25.607765760000003), (27.4364336, 28.35076752), (29.265101440000002, 29.7222684), (30.63660232, 31.093769280000004), (33.37960408, 33.83677104), (34.75110496, 35.20827192), (35.66543888, 36.5797728), (38.865607600000004, 40.694275440000006), (41.1514424, 42.52294328), (85.03947056, 86.41097144), (87.32530536, 89.15397320000001)]"
Robbery057_x264,Success,16.5,70.87,"[(18.784951100000004, 19.139284800000002), (31.895298000000004, 35.438635000000005), (44.296977500000004, 44.6513112), (46.777313400000004, 48.1946482), (48.903315600000006, 49.257649300000004), (50.320650400000005, 51.383651500000006), (52.44665260000001, 54.57265480000001), (58.47032550000001, 60.95066140000001)]"
Robbery058_x264,Success,18.5,58.0,"[(5.226774400000001, 5.806775000000001), (7.546776800000002, 7.836777100000002), (8.126777400000002, 8.4167777), (8.706778000000002, 8.9967783), (11.606781000000002, 11.896781300000002), (16.2467858, 16.5367861), (17.6967873, 17.9867876), (25.236795100000002, 25.5267954), (27.556797500000002, 27.846797800000004), (28.136798100000004, 28.426798400000003), (28.716798700000002, 29.006799000000004), (31.0368011, 31.326801400000004), (31.616801700000003, 31.906802000000003), (32.1968023, 32.486802600000004), (32.77680290000001, 33.356803500000005), (34.226804400000006, 34.5168047), (35.09680530000001, 35.3868056), (40.60681100000001, 40.8968113), (41.766812200000004, 42.05681250000001), (43.2168137, 43.506814000000006), (48.146818800000005, 50.466821200000005), (50.75682150000001, 51.336822100000006), (52.20682300000001, 52.49682330000001), (53.656824500000006, 53.94682480000001), (55.68682660000001, 55.976826900000006), (56.26682720000001, 56.84682780000001)]"
Robbery059_x264,Success,22.5,321.0,"[(0.005712, 1.61071132), (9.635707920000002, 19.26570384), (35.31569704, 38.525695680000005), (41.73569432000001, 44.94569296), (48.155691600000004, 49.76069092000001), (51.365690240000006, 57.78568752000001), (60.995686160000005, 64.20568480000001), (65.81068412, 75.44068004), (93.09567256000001, 96.3056712), (104.33066780000001, 109.14566576000001), (154.08564672, 160.505644), (163.71564264, 166.92564128), (216.6806202, 221.49561816), (253.59560456, 256.80560320000006), (280.88059300000003, 284.09059164), (292.11558824, 295.32558688000006), (303.35058348, 304.95558280000006)]"
Robbery060_x264,Success,9.5,69.43,"[(0.00773, 0.70206226), (2.0907267800000002, 2.43789291), (7.64538486, 8.339717120000001), (10.075547770000002, 11.117046160000001), (11.46421229, 11.81137842), (12.15854455, 12.505710680000002), (12.852876810000001, 13.547209070000001), (14.935873590000002, 15.283039720000001), (23.26786071, 23.96219297), (24.65652523, 25.35085749), (28.47535266, 28.82251879), (48.6109882, 48.958154330000006)]"
Robbery061_x264,Success,22.5,121.6,"[(12.167987700000001, 14.59998704), (17.639986215, 27.367983575), (34.055981759999995, 35.27198143), (58.983974995, 61.415974334999994), (62.023974169999995, 62.631974005), (66.88797285, 68.10397252), (69.31997219, 71.143971695), (78.439969715, 80.26396922), (80.87196905500001, 82.69596856), (93.031965755, 94.85596526), (107.623961795, 110.055961135)]"
Robbery062_x264,Success,22.0,119.4,"[(2.991245725, 10.155221065000001), (15.528202570000001, 18.513192295000003), (25.08016969, 26.871163525), (54.333068995000005, 57.31805872), (70.45201351, 76.42199296), (87.76495391499999, 88.958949805), (89.55594775, 90.152945695), (105.07789432, 105.674892265), (115.226859385, 115.82385733), (117.01785321999999, 119.405845)]"
Robbery063_x264,Success,24.5,70.13,"[(9.823690760000002, 12.628928120000001), (14.031546800000001, 22.447258880000003), (38.57737370000001, 41.03195639000001), (42.78522974000001, 46.291776440000014)]"
Robbery064_x264,Success,29.5,46.57,"[(0.007043, 1.4040386599999999), (12.58000394, 12.81283655), (13.04566916, 15.60682787), (16.3053257, 18.6336518), (23.290304, 26.549960539999997), (27.248458369999998, 27.71412359), (39.12292148, 39.5885867), (40.98558236, 44.01240629)]"
Robbery065_x264,Success,16.0,79.27,"[(6.34752248, 7.9328431), (8.329173255, 9.51816372), (9.914493875, 12.68880496), (13.085135115, 13.481465270000001), (13.877795425, 15.463116045000001), (16.65210651, 19.03008744), (28.145681005, 28.54201116), (40.828245965, 43.206226895)]"
Robbery066_x264,Success,23.0,158.73,"[(2.38749187, 3.18116216), (9.53052448, 22.229249120000002), (30.165952020000002, 32.54696289), (37.30898463, 38.10265492), (88.10388318999999, 89.69122377), (92.86590493, 103.97728898999999), (122.23170565999999, 123.81904623999999), (126.20005710999999, 128.58106798), (142.8671332, 144.45447378), (157.15319842, 158.740539)]"
Robbery067_x264,Success,25.0,132.53,"[(0.005074, 3.3184206499999997), (17.23447658, 21.21049256), (23.19850055, 30.487863179999998), (66.93467632999999, 67.59734565999999), (68.92268431999999, 69.58535364999999), (70.91069230999999, 84.16407890999999), (109.34551344999998, 110.00818277999998), (110.67085210999998, 112.65886009999998), (121.93623071999998, 122.59890004999998), (125.91224669999998, 126.57491602999998)]"
Robbery068_x264,Success,27.5,12.43,"[(7.4657478, 7.527913565), (8.08740545, 9.517218045), (9.57938381, 9.82804687), (9.890212635000001, 10.82269911), (10.884864875, 10.947030640000001), (11.07136217, 11.133527935), (11.1956937, 11.32002523), (11.382190995, 11.630854055), (11.69301982, 11.817351350000001), (11.879517115, 11.94168288), (12.252511705, 12.314677470000001)]"
Robbery069_x264,Success,35.5,22.23,"[(2.8980651, 7.122310400000001), (17.794088, 21.46251155)]"
